"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Alb-Donau-Kreis";"08425";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Biberach";"08426";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bodenseekreis";"08435";"40";"20";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ravensburg";"08436";"60";"50";"10";"20";"40";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"091xx";"80";"60";"20";"60";"20";"0"
"Regionalverband Saarbrücken";"10041";"München, Landeshauptstadt";"09162";"170";"100";"70";"110";"50";"0"
"Regionalverband Saarbrücken";"10041";"Freising";"09178";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Fürstenfeldbruck";"09179";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mühldorf aInn";"09183";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"München";"09184";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Neuburg-Schrobenhausen";"09185";"10";"10";"0";"0";"10";"0"
"Regionalverband Saarbrücken";"10041";"Pfaffenhofen adIlm";"09186";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Rosenheim";"09187";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Starnberg";"09188";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"092xx";"50";"40";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Deggendorf";"09271";"20";"10";"10";"0";"20";"0"
"Regionalverband Saarbrücken";"10041";"Landshut";"09274";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"093xx";"30";"30";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Regensburg, Stadt";"09362";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Schwandorf";"09376";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"094xx";"30";"20";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bamberg, Stadt";"09461";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Coburg, Stadt";"09463";"30";"30";"10";"0";"30";"0"
"Regionalverband Saarbrücken";"10041";"Bamberg";"09471";"40";"20";"20";"10";"30";"0"
"Regionalverband Saarbrücken";"10041";"Coburg";"09473";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Forchheim";"09474";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Kronach";"09476";"20";"10";"10";"0";"20";"0"
"Regionalverband Saarbrücken";"10041";"Wunsiedel iFichtelgebirge";"09479";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"095xx";"20";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Erlangen, Stadt";"09562";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Fürth, Stadt";"09563";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Nürnberg, Stadt";"09564";"50";"30";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ansbach";"09571";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Erlangen-Höchstadt";"09572";"20";"10";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Fürth";"09573";"10";"0";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Nürnberger Land";"09574";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"096xx";"50";"40";"20";"30";"20";"0"
"Regionalverband Saarbrücken";"10041";"Aschaffenburg";"09671";"30";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Haßberge";"09674";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Kitzingen";"09675";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Schweinfurt";"09678";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Würzburg";"09679";"20";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"097xx";"50";"30";"10";"30";"20";"0"
"Regionalverband Saarbrücken";"10041";"Augsburg, Stadt";"09761";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Augsburg";"09772";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Neu-Ulm";"09775";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Donau-Ries";"09779";"10";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Oberallgäu";"09780";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Merzig-Wadern";"10042";"2850";"1680";"1180";"2690";"160";"110"
"Regionalverband Saarbrücken";"10041";"Neunkirchen";"10043";"11910";"6390";"5520";"11100";"810";"460"
"Regionalverband Saarbrücken";"10041";"Saarlouis";"10044";"16530";"9200";"7330";"15230";"1300";"650"
"Regionalverband Saarbrücken";"10041";"Saarpfalz-Kreis";"10045";"11670";"6190";"5480";"10880";"790";"430"
"Regionalverband Saarbrücken";"10041";"St Wendel";"10046";"4010";"2330";"1680";"3840";"160";"130"
"Regionalverband Saarbrücken";"10041";"Berlin, Stadt";"11000";"1050";"270";"780";"240";"800";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"120xx";"60";"40";"20";"40";"30";"0"
"Regionalverband Saarbrücken";"10041";"Potsdam, Stadt";"12054";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Barnim";"12060";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Havelland";"12063";"40";"30";"10";"10";"30";"0"
"Regionalverband Saarbrücken";"10041";"Märkisch-Oderland";"12064";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Teltow-Fläming";"12072";"20";"20";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"130xx";"30";"20";"0";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rostock, Hanse- und Universitätsstadt";"13003";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Vorpommern-Rügen";"13073";"10";"10";"10";"10";"0";"0"
