"Land";"Bremen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Bremen, Stadt";"04011";"Kleve";"05154";"60";"40";"20";"50";"20";"0"
"Bremen, Stadt";"04011";"Mettmann";"05158";"130";"90";"50";"120";"10";"0"
"Bremen, Stadt";"04011";"Rhein-Kreis Neuss";"05162";"120";"80";"40";"100";"20";"0"
"Bremen, Stadt";"04011";"Viersen";"05166";"40";"30";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Wesel";"05170";"170";"130";"40";"150";"20";"0"
"Bremen, Stadt";"04011";"Bonn, Stadt";"05314";"70";"50";"20";"50";"20";"0"
"Bremen, Stadt";"04011";"Köln, Stadt";"05315";"250";"140";"110";"200";"50";"0"
"Bremen, Stadt";"04011";"Leverkusen, Stadt";"05316";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Städteregion Aachen";"05334";"90";"70";"20";"80";"10";"0"
"Bremen, Stadt";"04011";"Düren";"05358";"40";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Rhein-Erft-Kreis";"05362";"60";"50";"10";"50";"10";"0"
"Bremen, Stadt";"04011";"Euskirchen";"05366";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Heinsberg";"05370";"60";"40";"20";"50";"0";"0"
"Bremen, Stadt";"04011";"Oberbergischer Kreis";"05374";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Rheinisch-Bergischer Kreis";"05378";"60";"40";"20";"50";"0";"0"
"Bremen, Stadt";"04011";"Rhein-Sieg-Kreis";"05382";"170";"80";"90";"140";"20";"0"
"Bremen, Stadt";"04011";"Bottrop, Stadt";"05512";"120";"110";"20";"120";"10";"0"
