"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Esslingen";"08116";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Ludwigsburg";"08118";"20";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Rems-Murr-Kreis";"08119";"20";"10";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Heilbronn";"08125";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Main-Tauber-Kreis";"08128";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Ostalbkreis";"08136";"20";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"082xx";"30";"30";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Karlsruhe";"08215";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Heidelberg, Stadt";"08221";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Mannheim, Universitätsstadt";"08222";"70";"40";"30";"30";"40";"30"
"Erfurt, Stadt";"16051";"Rhein-Neckar-Kreis";"08226";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Calw";"08235";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"083xx";"40";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Freiburg im Breisgau, Stadt";"08311";"20";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Ortenaukreis";"08317";"10";"0";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"084xx";"20";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Reutlingen";"08415";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Tübingen";"08416";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Zollernalbkreis";"08417";"20";"10";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Ulm, Universitätsstadt";"08421";"10";"0";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Alb-Donau-Kreis";"08425";"10";"10";"0";"0";"10";"0"
"Erfurt, Stadt";"16051";"Ravensburg";"08436";"10";"10";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"091xx";"70";"30";"30";"50";"20";"0"
"Erfurt, Stadt";"16051";"München, Landeshauptstadt";"09162";"110";"60";"50";"80";"20";"0"
"Erfurt, Stadt";"16051";"Berchtesgadener Land";"09172";"50";"10";"40";"40";"10";"0"
"Erfurt, Stadt";"16051";"Eichstätt";"09176";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Freising";"09178";"20";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"München";"09184";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Pfaffenhofen adIlm";"09186";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Rosenheim";"09187";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Traunstein";"09189";"20";"0";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"093xx";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Regensburg, Stadt";"09362";"10";"0";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Regensburg";"09375";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"094xx";"40";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Bamberg, Stadt";"09461";"30";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Coburg, Stadt";"09463";"30";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Bamberg";"09471";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Bayreuth";"09472";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Coburg";"09473";"60";"30";"30";"60";"0";"0"
"Erfurt, Stadt";"16051";"Kronach";"09476";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Lichtenfels";"09478";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"095xx";"30";"20";"10";"30";"10";"0"
