"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Kassel, documenta-Stadt";"06611";"540";"320";"220";"400";"140";"10"
"Berlin, Stadt";"11000";"Fulda";"06631";"250";"150";"100";"210";"50";"0"
"Berlin, Stadt";"11000";"Hersfeld-Rotenburg";"06632";"240";"110";"130";"190";"40";"20"
"Berlin, Stadt";"11000";"Kassel";"06633";"270";"160";"110";"240";"30";"10"
"Berlin, Stadt";"11000";"Schwalm-Eder-Kreis";"06634";"170";"100";"80";"150";"20";"10"
"Berlin, Stadt";"11000";"Waldeck-Frankenberg";"06635";"160";"80";"80";"130";"30";"0"
"Berlin, Stadt";"11000";"Werra-Meißner-Kreis";"06636";"130";"70";"60";"110";"20";"0"
"Berlin, Stadt";"11000";"Koblenz, kreisfreie Stadt";"07111";"200";"120";"70";"120";"70";"0"
"Berlin, Stadt";"11000";"Ahrweiler";"07131";"180";"90";"80";"150";"30";"0"
"Berlin, Stadt";"11000";"Altenkirchen (Westerwald)";"07132";"100";"60";"40";"90";"10";"0"
"Berlin, Stadt";"11000";"Bad Kreuznach";"07133";"150";"80";"60";"110";"40";"0"
"Berlin, Stadt";"11000";"Birkenfeld";"07134";"70";"60";"20";"50";"30";"0"
"Berlin, Stadt";"11000";"Cochem-Zell";"07135";"130";"40";"90";"110";"20";"0"
"Berlin, Stadt";"11000";"Mayen-Koblenz";"07137";"250";"150";"100";"210";"40";"0"
"Berlin, Stadt";"11000";"Neuwied";"07138";"210";"120";"90";"190";"20";"0"
"Berlin, Stadt";"11000";"Rhein-Hunsrück-Kreis";"07140";"100";"60";"50";"80";"20";"0"
"Berlin, Stadt";"11000";"Rhein-Lahn-Kreis";"07141";"120";"70";"50";"100";"20";"0"
"Berlin, Stadt";"11000";"Westerwaldkreis";"07143";"210";"120";"90";"180";"30";"0"
"Berlin, Stadt";"11000";"Trier, kreisfreie Stadt";"07211";"200";"100";"110";"140";"60";"0"
"Berlin, Stadt";"11000";"Bernkastel-Wittlich";"07231";"100";"60";"50";"70";"30";"0"
"Berlin, Stadt";"11000";"Eifelkreis Bitburg-Prüm";"07232";"40";"30";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Vulkaneifel";"07233";"50";"20";"20";"40";"0";"0"
"Berlin, Stadt";"11000";"Trier-Saarburg";"07235";"100";"50";"50";"70";"20";"0"
"Berlin, Stadt";"11000";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Kaiserslautern, kreisfreie Stadt";"07312";"150";"90";"70";"90";"70";"0"
"Berlin, Stadt";"11000";"Landau in der Pfalz, kreisfreie Stadt";"07313";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"240";"150";"90";"150";"90";"0"
"Berlin, Stadt";"11000";"Mainz, kreisfreie Stadt";"07315";"560";"350";"210";"430";"130";"10"
"Berlin, Stadt";"11000";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"80";"50";"30";"70";"10";"0"
"Berlin, Stadt";"11000";"Pirmasens, kreisfreie Stadt";"07317";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Speyer, kreisfreie Stadt";"07318";"60";"40";"20";"50";"10";"0"
"Berlin, Stadt";"11000";"Worms, kreisfreie Stadt";"07319";"110";"60";"50";"80";"30";"0"
"Berlin, Stadt";"11000";"Zweibrücken, kreisfreie Stadt";"07320";"40";"20";"20";"30";"20";"0"
"Berlin, Stadt";"11000";"Alzey-Worms";"07331";"130";"70";"60";"120";"10";"10"
"Berlin, Stadt";"11000";"Bad Dürkheim";"07332";"170";"90";"80";"140";"30";"0"
"Berlin, Stadt";"11000";"Donnersbergkreis";"07333";"60";"40";"20";"50";"10";"0"
"Berlin, Stadt";"11000";"Germersheim";"07334";"140";"80";"60";"110";"30";"0"
"Berlin, Stadt";"11000";"Kaiserslautern";"07335";"80";"50";"30";"70";"10";"0"
"Berlin, Stadt";"11000";"Kusel";"07336";"30";"20";"10";"30";"0";"0"
"Berlin, Stadt";"11000";"Südliche Weinstraße";"07337";"90";"50";"40";"90";"10";"0"
"Berlin, Stadt";"11000";"Rhein-Pfalz-Kreis";"07338";"180";"110";"70";"150";"30";"0"
"Berlin, Stadt";"11000";"Mainz-Bingen";"07339";"270";"170";"100";"230";"30";"0"
"Berlin, Stadt";"11000";"Südwestpfalz";"07340";"60";"30";"20";"50";"10";"0"
"Berlin, Stadt";"11000";"Stuttgart, Landeshauptstadt";"08111";"1760";"1060";"700";"1190";"570";"10"
"Berlin, Stadt";"11000";"Böblingen";"08115";"490";"290";"200";"350";"140";"10"
"Berlin, Stadt";"11000";"Esslingen";"08116";"750";"490";"260";"510";"240";"10"
"Berlin, Stadt";"11000";"Göppingen";"08117";"340";"240";"90";"270";"70";"20"
"Berlin, Stadt";"11000";"Ludwigsburg";"08118";"690";"400";"290";"500";"180";"20"
"Berlin, Stadt";"11000";"Rems-Murr-Kreis";"08119";"440";"250";"180";"340";"100";"0"
"Berlin, Stadt";"11000";"Heilbronn, Universitätsstadt";"08121";"130";"90";"50";"80";"60";"0"
"Berlin, Stadt";"11000";"Heilbronn";"08125";"310";"170";"140";"240";"70";"0"
"Berlin, Stadt";"11000";"Hohenlohekreis";"08126";"80";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Schwäbisch Hall";"08127";"130";"70";"70";"110";"20";"0"
"Berlin, Stadt";"11000";"Main-Tauber-Kreis";"08128";"90";"40";"50";"70";"20";"0"
"Berlin, Stadt";"11000";"Heidenheim";"08135";"110";"80";"40";"80";"30";"0"
