lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %
140;08135;Heidenheim;2.723 
141;08121;Heilbronn;6.299 
142;08125;Heilbronn (Landkreis);3.469 
143;05370;Heinsberg;3.934 
144;03154;Helmstedt;2.382 
145;05758;Herford;5.061 
146;05916;Herne;10.466 
147;06632;Hersfeld-Rotenburg;2.884 
148;01053;Herzogtum Lauenburg;1.890 
149;16069;Hildburghausen;1.860 
150;03254;Hildesheim;3.194 
151;05958;Hochsauerlandkreis;3.297 
152;06434;Hochtaunuskreis;4.313 
153;09464;Hof;5.612 
154;09475;Hof (Landkreis);2.567 
155;08126;Hohenlohekreis;2.776 
156;03255;Holzminden;2.512 
157;05762;Höxter;2.562 
158;16070;Ilm-Kreis;2.076 
159;09161;Ingolstadt;6.548 
160;16053;Jena;4.287 
161;15086;Jerichower Land;0.892 
162;07312;Kaiserslautern;4.681 
163;07335;Kaiserslautern (Landkreis);2.371 
164;08212;Karlsruhe;6.970 
165;08215;Karlsruhe (Landkreis);3.471 
166;06633;Kassel;3.048 
167;06611;Kassel (Kreisfreie Stadt);8.385 
168;09762;Kaufbeuren;6.393 
169;09273;Kelheim;2.423 
170;09763;Kempten (Allgäu);5.608 
171;01002;Kiel;7.582 
172;09675;Kitzingen;3.203 
173;05154;Kleve;2.894 
174;07111;Koblenz;6.003 
175;08335;Konstanz;3.061 
176;05114;Krefeld;6.988 
177;09476;Kronach;2.771 
178;09477;Kulmbach;2.556 
179;07336;Kusel;2.136 
180;16065;Kyffhäuserkreis;1.373 
181;05315;Köln;8.211 
182;06532;Lahn-Dill-Kreis;3.726 
183;07313;Landau in der Pfalz;4.233 
184;09181;Landsberg am Lech;2.390 
185;09261;Landshut;6.151 
186;09274;Landshut (Landkreis);2.182 
187;03457;Leer;2.407 
188;14713;Leipzig;6.734 
189;14729;Leipzig (Landkreis);2.363 
190;05316;Leverkusen;8.517 
191;09478;Lichtenfels;2.837 
192;06533;Limburg-Weilburg;3.480 
193;09776;Lindau (Bodensee);2.742 
194;05766;Lippe;3.130 
195;08118;Ludwigsburg;4.670 
196;07314;Ludwigshafen am Rhein;9.342 
197;13076;Ludwigslust-Parchim;0.958 
198;08336;Lörrach;3.230 
199;01003;Lübeck;4.625 
200;03354;Lüchow-Dannenberg;1.479 
201;03355;Lüneburg;1.756 
202;15003;Magdeburg;5.400 
203;06435;Main-Kinzig-Kreis;3.597 
204;09677;Main-Spessart;2.593 
205;08128;Main-Tauber-Kreis;2.387 
206;06436;Main-Taunus-Kreis;6.214 
207;07315;Mainz;8.340 
208;07339;Mainz-Bingen;3.381 
209;08222;Mannheim;7.937 
210;15087;Mansfeld-Südharz;1.560 
211;06534;Marburg-Biedenkopf;3.097 
212;07137;Mayen-Koblenz;2.835 
213;13071;Mecklenburgische Seenplatte;0.866 
214;14627;Meißen;2.247 
215;09764;Memmingen;4.951 
216;10042;Merzig-Wadern;2.411 
217;05158;Mettmann;5.945 
218;09182;Miesbach;1.673 
219;09676;Miltenberg;3.030 
220;05770;Minden-Lübbecke;3.653 
