lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert DSE/m²
181;05315;Köln;22.54 
182;06532;Lahn-Dill-Kreis;4.89 
183;07313;Landau in der Pfalz;7.75 
184;09181;Landsberg am Lech;3.18 
185;09261;Landshut;14.97 
186;09274;Landshut (Landkreis);3.45 
187;03457;Leer;4.99 
188;14713;Leipzig;19.67 
189;14729;Leipzig (Landkreis);4.74 
190;05316;Leverkusen;23.56 
191;09478;Lichtenfels;3.39 
192;06533;Limburg-Weilburg;4.98 
193;09776;Lindau (Bodensee);5.15 
194;05766;Lippe;6.69 
195;08118;Ludwigsburg;8.86 
196;07314;Ludwigshafen am Rhein;24.91 
197;13076;Ludwigslust-Parchim;1.75 
198;08336;Lörrach;4.20 
199;01003;Lübeck;14.19 
200;03354;Lüchow-Dannenberg;1.93 
201;03355;Lüneburg;3.55 
202;15003;Magdeburg;16.13 
203;06435;Main-Kinzig-Kreis;4.90 
204;09677;Main-Spessart;2.19 
205;08128;Main-Tauber-Kreis;2.37 
206;06436;Main-Taunus-Kreis;11.98 
207;07315;Mainz;19.55 
208;07339;Mainz-Bingen;5.36 
209;08222;Mannheim;24.68 
210;15087;Mansfeld-Südharz;2.81 
211;06534;Marburg-Biedenkopf;3.76 
212;07137;Mayen-Koblenz;5.71 
213;13071;Mecklenburgische Seenplatte;1.61 
214;14627;Meißen;4.87 
215;09764;Memmingen;10.83 
216;10042;Merzig-Wadern;4.55 
217;05158;Mettmann;16.21 
218;09182;Miesbach;2.53 
219;09676;Miltenberg;3.58 
220;05770;Minden-Lübbecke;8.11 
221;14522;Mittelsachsen;4.73 
222;12064;Märkisch-Oderland;3.55 
223;05962;Märkischer Kreis;6.84 
224;05116;Mönchengladbach;19.83 
225;09183;Mühldorf a. Inn;3.95 
226;05117;Mülheim an der Ruhr;24.32 
227;09162;München;31.99 
228;09184;München (Landkreis);7.61 
229;05515;Münster;12.30 
230;08225;Neckar-Odenwald-Kreis;3.19 
231;09775;Neu-Ulm;6.12 
232;09185;Neuburg-Schrobenhausen;3.57 
233;09373;Neumarkt i.d. OPf.;2.76 
234;01004;Neumünster;21.18 
235;10043;Neunkirchen;10.49 
236;09575;Neustadt a.d. Aisch-Bad Windsheim;2.34 
237;09374;Neustadt a.d. Waldnaab;2.28 
238;07316;Neustadt an der Weinstraße;6.94 
239;07138;Neuwied;6.54 
240;03256;Nienburg (Weser);3.29 
241;01054;Nordfriesland;3.12 
242;16062;Nordhausen;3.17 
243;14730;Nordsachsen;3.29 
244;13074;Nordwestmecklenburg;2.41 
245;03155;Northeim;2.72 
246;09564;Nürnberg;25.42 
247;09574;Nürnberger Land;4.05 
248;09780;Oberallgäu;2.13 
249;05374;Oberbergischer Kreis;7.09 
250;05119;Oberhausen;30.68 
251;12065;Oberhavel;3.57 
252;12066;Oberspreewald-Lausitz;3.71 
253;06437;Odenwaldkreis;3.40 
254;12067;Oder-Spree;2.90 
255;06438;Offenbach;11.64 
256;06413;Offenbach am Main;19.47 
257;03458;Oldenburg;4.48 
258;03403;Oldenburg (Oldb);25.59 
259;05966;Olpe;4.34 
260;08317;Ortenaukreis;4.35 
261;03404;Osnabrück;21.73 
262;03459;Osnabrück (Landkreis);4.83 
263;08136;Ostalbkreis;3.98 
264;09777;Ostallgäu;2.39 
265;03356;Osterholz;5.79 
266;01055;Ostholstein;4.05 
267;12068;Ostprignitz-Ruppin;1.83 
268;05774;Paderborn;4.83 
269;09262;Passau;12.57 
270;09275;Passau (Landkreis);4.32 
271;03157;Peine;5.59 
272;09186;Pfaffenhofen a.d. Ilm;4.04 
273;08231;Pforzheim;12.05 
274;01056;Pinneberg;9.03 
275;07317;Pirmasens;12.14 
276;01057;Plön;3.30 
277;12054;Potsdam;11.33 
278;12069;Potsdam-Mittelmark;2.82 
279;12070;Prignitz;1.87 
280;08216;Rastatt;5.28 
281;08436;Ravensburg;3.73 
282;05562;Recklinghausen;12.45 
283;09276;Regen;2.58 
284;09362;Regensburg;23.89 
285;09375;Regensburg (Landkreis);3.15 
286;03241;Region Hannover;7.47 
287;10041;Regionalverband Saarbrücken;12.37 
288;08119;Rems-Murr-Kreis;6.14 
289;05120;Remscheid;18.50 
290;01058;Rendsburg-Eckernförde;3.62 
291;08415;Reutlingen;4.09 
292;05362;Rhein-Erft-Kreis;9.83 
293;07140;Rhein-Hunsrück-Kreis;2.72 
294;05162;Rhein-Kreis Neuss;11.90 
295;07141;Rhein-Lahn-Kreis;3.42 
296;08226;Rhein-Neckar-Kreis;7.34 
297;07338;Rhein-Pfalz-Kreis;7.75 
