"Land";"Hamburg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Hamburg, Freie und Hansestadt";"02000";"Waldeck-Frankenberg";"06635";"20";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Werra-Meißner-Kreis";"06636";"10";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Übrige Kreise (Regierungsbezirk)";"070xx";"50";"40";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Koblenz, kreisfreie Stadt";"07111";"80";"50";"40";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ahrweiler";"07131";"20";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Altenkirchen (Westerwald)";"07132";"20";"10";"0";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bad Kreuznach";"07133";"40";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Birkenfeld";"07134";"20";"10";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mayen-Koblenz";"07137";"40";"30";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Neuwied";"07138";"40";"30";"10";"40";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Hunsrück-Kreis";"07140";"20";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Lahn-Kreis";"07141";"30";"20";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Westerwaldkreis";"07143";"50";"40";"10";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Trier, kreisfreie Stadt";"07211";"20";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bernkastel-Wittlich";"07231";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Eifelkreis Bitburg-Prüm";"07232";"20";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kaiserslautern, kreisfreie Stadt";"07312";"30";"20";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"50";"40";"10";"30";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mainz, kreisfreie Stadt";"07315";"310";"190";"120";"250";"50";"10"
"Hamburg, Freie und Hansestadt";"02000";"Speyer, kreisfreie Stadt";"07318";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Worms, kreisfreie Stadt";"07319";"20";"20";"0";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Zweibrücken, kreisfreie Stadt";"07320";"10";"10";"10";"0";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Alzey-Worms";"07331";"10";"10";"10";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bad Dürkheim";"07332";"20";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Germersheim";"07334";"10";"10";"0";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kaiserslautern";"07335";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Südliche Weinstraße";"07337";"20";"20";"0";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Pfalz-Kreis";"07338";"10";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mainz-Bingen";"07339";"70";"40";"30";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Stuttgart, Landeshauptstadt";"08111";"870";"560";"310";"740";"130";"10"
"Hamburg, Freie und Hansestadt";"02000";"Böblingen";"08115";"170";"120";"50";"140";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Esslingen";"08116";"330";"210";"120";"250";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Göppingen";"08117";"90";"60";"30";"60";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ludwigsburg";"08118";"330";"240";"90";"300";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rems-Murr-Kreis";"08119";"100";"80";"20";"80";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heilbronn, Universitätsstadt";"08121";"60";"40";"20";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heilbronn";"08125";"190";"140";"50";"160";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hohenlohekreis";"08126";"70";"60";"10";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Schwäbisch Hall";"08127";"80";"40";"30";"60";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Main-Tauber-Kreis";"08128";"30";"20";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heidenheim";"08135";"30";"20";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ostalbkreis";"08136";"90";"60";"30";"80";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Baden-Baden, Stadt";"08211";"60";"30";"30";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Karlsruhe, Stadt";"08212";"370";"260";"120";"300";"80";"10"
"Hamburg, Freie und Hansestadt";"02000";"Karlsruhe";"08215";"150";"80";"60";"110";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rastatt";"08216";"50";"30";"20";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heidelberg, Stadt";"08221";"220";"130";"90";"180";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mannheim, Universitätsstadt";"08222";"460";"290";"170";"390";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Neckar-Odenwald-Kreis";"08225";"10";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Neckar-Kreis";"08226";"240";"140";"100";"190";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Pforzheim, Stadt";"08231";"90";"60";"40";"90";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Calw";"08235";"30";"20";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Enzkreis";"08236";"30";"20";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Freudenstadt";"08237";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Freiburg im Breisgau, Stadt";"08311";"220";"120";"100";"170";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Breisgau-Hochschwarzwald";"08315";"150";"130";"30";"120";"30";"10"
"Hamburg, Freie und Hansestadt";"02000";"Emmendingen";"08316";"20";"10";"10";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ortenaukreis";"08317";"140";"90";"50";"120";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rottweil";"08325";"20";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Schwarzwald-Baar-Kreis";"08326";"40";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Tuttlingen";"08327";"40";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Konstanz";"08335";"100";"40";"50";"80";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Lörrach";"08336";"120";"60";"70";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Waldshut";"08337";"30";"20";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Reutlingen";"08415";"100";"60";"40";"80";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Tübingen";"08416";"70";"40";"30";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Zollernalbkreis";"08417";"50";"30";"20";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ulm, Universitätsstadt";"08421";"220";"130";"90";"190";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Alb-Donau-Kreis";"08425";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Biberach";"08426";"100";"80";"20";"80";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bodenseekreis";"08435";"100";"70";"30";"90";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ravensburg";"08436";"70";"50";"20";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Sigmaringen";"08437";"20";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ingolstadt, Stadt";"09161";"90";"60";"20";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"München, Landeshauptstadt";"09162";"5040";"2860";"2170";"4270";"760";"40"
"Hamburg, Freie und Hansestadt";"02000";"Rosenheim, Stadt";"09163";"20";"20";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Altötting";"09171";"30";"30";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Berchtesgadener Land";"09172";"40";"30";"10";"40";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bad Tölz-Wolfratshausen";"09173";"50";"40";"10";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Dachau";"09174";"30";"20";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ebersberg";"09175";"40";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Eichstätt";"09176";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Erding";"09177";"30";"20";"0";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Freising";"09178";"400";"200";"200";"340";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Fürstenfeldbruck";"09179";"90";"70";"30";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Garmisch-Partenkirchen";"09180";"20";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Landsberg am Lech";"09181";"20";"10";"10";"20";"0";"0"
