"Land";"Baden-Württemberg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Stuttgart, Landeshauptstadt";"08111";"Lippe";"05766";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Minden-Lübbecke";"05770";"20";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Paderborn";"05774";"30";"20";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"059xx";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bochum, Stadt";"05911";"50";"30";"20";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Dortmund, Stadt";"05913";"160";"80";"80";"90";"70";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hagen, Stadt der FernUniversität";"05914";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ennepe-Ruhr-Kreis";"05954";"30";"30";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hochsauerlandkreis";"05958";"30";"20";"20";"20";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Märkischer Kreis";"05962";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Siegen-Wittgenstein";"05970";"30";"30";"0";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Soest";"05974";"20";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Unna";"05978";"70";"70";"10";"40";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"064xx";"10";"0";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Darmstadt, Wissenschaftsstadt";"06411";"140";"80";"50";"100";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Frankfurt am Main, Stadt";"06412";"1500";"900";"610";"1050";"450";"20"
"Stuttgart, Landeshauptstadt";"08111";"Offenbach am Main, Stadt";"06413";"80";"40";"30";"20";"60";"0"
"Stuttgart, Landeshauptstadt";"08111";"Wiesbaden, Landeshauptstadt";"06414";"240";"160";"80";"160";"80";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bergstraße";"06431";"50";"40";"20";"30";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Darmstadt-Dieburg";"06432";"70";"40";"40";"30";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Groß-Gerau";"06433";"90";"60";"30";"50";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hochtaunuskreis";"06434";"410";"220";"190";"290";"120";"0"
"Stuttgart, Landeshauptstadt";"08111";"Main-Kinzig-Kreis";"06435";"120";"90";"30";"90";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Main-Taunus-Kreis";"06436";"220";"130";"90";"160";"50";"0"
"Stuttgart, Landeshauptstadt";"08111";"Offenbach";"06438";"310";"170";"140";"170";"140";"10"
"Stuttgart, Landeshauptstadt";"08111";"Rheingau-Taunus-Kreis";"06439";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Wetteraukreis";"06440";"50";"30";"20";"40";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Gießen";"06531";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Lahn-Dill-Kreis";"06532";"40";"30";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Limburg-Weilburg";"06533";"20";"20";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Marburg-Biedenkopf";"06534";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"066xx";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Kassel, documenta-Stadt";"06611";"40";"30";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Fulda";"06631";"30";"20";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hersfeld-Rotenburg";"06632";"20";"20";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Kassel";"06633";"20";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Schwalm-Eder-Kreis";"06634";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"070xx";"40";"30";"20";"40";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Koblenz, kreisfreie Stadt";"07111";"40";"20";"20";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ahrweiler";"07131";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bad Kreuznach";"07133";"20";"20";"10";"10";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Birkenfeld";"07134";"20";"20";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mayen-Koblenz";"07137";"20";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Neuwied";"07138";"10";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rhein-Hunsrück-Kreis";"07140";"50";"10";"40";"20";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Westerwaldkreis";"07143";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Trier, kreisfreie Stadt";"07211";"20";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"20";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Kaiserslautern, kreisfreie Stadt";"07312";"90";"70";"30";"30";"60";"0"
"Stuttgart, Landeshauptstadt";"08111";"Landau in der Pfalz, kreisfreie Stadt";"07313";"50";"50";"10";"40";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"110";"70";"40";"70";"50";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mainz, kreisfreie Stadt";"07315";"120";"60";"70";"100";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Speyer, kreisfreie Stadt";"07318";"10";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Worms, kreisfreie Stadt";"07319";"10";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Alzey-Worms";"07331";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bad Dürkheim";"07332";"10";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Germersheim";"07334";"60";"50";"10";"50";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Kaiserslautern";"07335";"10";"0";"10";"0";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Südliche Weinstraße";"07337";"10";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mainz-Bingen";"07339";"40";"30";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Böblingen";"08115";"16020";"10870";"5150";"11800";"4220";"410"
"Stuttgart, Landeshauptstadt";"08111";"Esslingen";"08116";"20810";"13080";"7730";"15190";"5620";"910"
"Stuttgart, Landeshauptstadt";"08111";"Göppingen";"08117";"1160";"750";"410";"790";"380";"30"
"Stuttgart, Landeshauptstadt";"08111";"Ludwigsburg";"08118";"20100";"12790";"7310";"14460";"5640";"770"
"Stuttgart, Landeshauptstadt";"08111";"Rems-Murr-Kreis";"08119";"11030";"6720";"4320";"7650";"3380";"500"
"Stuttgart, Landeshauptstadt";"08111";"Heilbronn, Universitätsstadt";"08121";"630";"380";"250";"490";"130";"30"
"Stuttgart, Landeshauptstadt";"08111";"Heilbronn";"08125";"1360";"950";"420";"1010";"360";"20"
"Stuttgart, Landeshauptstadt";"08111";"Hohenlohekreis";"08126";"150";"100";"40";"120";"30";"10"
"Stuttgart, Landeshauptstadt";"08111";"Schwäbisch Hall";"08127";"210";"130";"80";"140";"70";"10"
"Stuttgart, Landeshauptstadt";"08111";"Main-Tauber-Kreis";"08128";"30";"20";"10";"20";"10";"0"
