"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Gütersloh";"05754";"450";"310";"140";"350";"100";"10"
"Berlin, Stadt";"11000";"Herford";"05758";"100";"70";"30";"80";"30";"0"
"Berlin, Stadt";"11000";"Höxter";"05762";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Lippe";"05766";"150";"90";"60";"130";"20";"0"
"Berlin, Stadt";"11000";"Minden-Lübbecke";"05770";"180";"120";"60";"150";"30";"0"
"Berlin, Stadt";"11000";"Paderborn";"05774";"190";"120";"70";"150";"40";"0"
"Berlin, Stadt";"11000";"Bochum, Stadt";"05911";"530";"350";"180";"420";"110";"0"
"Berlin, Stadt";"11000";"Dortmund, Stadt";"05913";"850";"560";"290";"550";"300";"0"
"Berlin, Stadt";"11000";"Hagen, Stadt der FernUniversität";"05914";"100";"60";"40";"80";"20";"0"
"Berlin, Stadt";"11000";"Hamm, Stadt";"05915";"280";"210";"70";"170";"100";"0"
"Berlin, Stadt";"11000";"Herne, Stadt";"05916";"40";"20";"20";"30";"20";"0"
"Berlin, Stadt";"11000";"Ennepe-Ruhr-Kreis";"05954";"140";"90";"50";"120";"20";"0"
"Berlin, Stadt";"11000";"Hochsauerlandkreis";"05958";"190";"120";"60";"130";"60";"0"
"Berlin, Stadt";"11000";"Märkischer Kreis";"05962";"120";"70";"50";"100";"10";"0"
"Berlin, Stadt";"11000";"Olpe";"05966";"50";"40";"10";"50";"10";"0"
"Berlin, Stadt";"11000";"Siegen-Wittgenstein";"05970";"160";"110";"60";"130";"30";"0"
"Berlin, Stadt";"11000";"Soest";"05974";"90";"60";"30";"70";"20";"0"
"Berlin, Stadt";"11000";"Unna";"05978";"210";"160";"50";"180";"30";"10"
"Berlin, Stadt";"11000";"Darmstadt, Wissenschaftsstadt";"06411";"480";"300";"180";"370";"110";"0"
"Berlin, Stadt";"11000";"Frankfurt am Main, Stadt";"06412";"7860";"4540";"3310";"5500";"2350";"30"
"Berlin, Stadt";"11000";"Offenbach am Main, Stadt";"06413";"180";"110";"70";"120";"70";"0"
"Berlin, Stadt";"11000";"Wiesbaden, Landeshauptstadt";"06414";"780";"480";"300";"660";"120";"0"
"Berlin, Stadt";"11000";"Bergstraße";"06431";"150";"100";"60";"120";"30";"0"
"Berlin, Stadt";"11000";"Darmstadt-Dieburg";"06432";"270";"140";"130";"130";"140";"0"
"Berlin, Stadt";"11000";"Groß-Gerau";"06433";"320";"230";"90";"240";"80";"0"
"Berlin, Stadt";"11000";"Hochtaunuskreis";"06434";"1560";"820";"740";"1080";"470";"0"
"Berlin, Stadt";"11000";"Main-Kinzig-Kreis";"06435";"520";"360";"160";"370";"160";"10"
"Berlin, Stadt";"11000";"Main-Taunus-Kreis";"06436";"1460";"810";"650";"1070";"400";"0"
"Berlin, Stadt";"11000";"Odenwaldkreis";"06437";"20";"10";"10";"10";"10";"0"
"Berlin, Stadt";"11000";"Offenbach";"06438";"950";"560";"400";"660";"290";"10"
"Berlin, Stadt";"11000";"Rheingau-Taunus-Kreis";"06439";"120";"90";"40";"100";"30";"0"
"Berlin, Stadt";"11000";"Wetteraukreis";"06440";"170";"100";"60";"110";"50";"0"
"Berlin, Stadt";"11000";"Gießen";"06531";"160";"100";"60";"120";"30";"0"
"Berlin, Stadt";"11000";"Lahn-Dill-Kreis";"06532";"150";"100";"50";"120";"30";"0"
"Berlin, Stadt";"11000";"Limburg-Weilburg";"06533";"60";"40";"10";"40";"20";"0"
"Berlin, Stadt";"11000";"Marburg-Biedenkopf";"06534";"150";"80";"70";"120";"40";"0"
"Berlin, Stadt";"11000";"Vogelsbergkreis";"06535";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Kassel, documenta-Stadt";"06611";"320";"200";"120";"240";"80";"0"
"Berlin, Stadt";"11000";"Fulda";"06631";"150";"100";"40";"110";"40";"0"
"Berlin, Stadt";"11000";"Hersfeld-Rotenburg";"06632";"80";"60";"20";"60";"20";"0"
"Berlin, Stadt";"11000";"Kassel";"06633";"90";"70";"20";"50";"30";"0"
"Berlin, Stadt";"11000";"Schwalm-Eder-Kreis";"06634";"70";"40";"30";"60";"10";"0"
"Berlin, Stadt";"11000";"Waldeck-Frankenberg";"06635";"200";"120";"70";"160";"40";"0"
"Berlin, Stadt";"11000";"Werra-Meißner-Kreis";"06636";"40";"20";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Übrige Kreise (Regierungsbezirk)";"070xx";"20";"10";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Koblenz, kreisfreie Stadt";"07111";"110";"60";"50";"90";"30";"0"
"Berlin, Stadt";"11000";"Ahrweiler";"07131";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Altenkirchen (Westerwald)";"07132";"50";"40";"10";"40";"10";"0"
"Berlin, Stadt";"11000";"Bad Kreuznach";"07133";"60";"40";"20";"50";"10";"0"
"Berlin, Stadt";"11000";"Birkenfeld";"07134";"30";"10";"20";"20";"10";"0"
"Berlin, Stadt";"11000";"Mayen-Koblenz";"07137";"80";"60";"10";"60";"10";"0"
"Berlin, Stadt";"11000";"Neuwied";"07138";"80";"60";"30";"70";"20";"0"
"Berlin, Stadt";"11000";"Rhein-Hunsrück-Kreis";"07140";"40";"20";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Rhein-Lahn-Kreis";"07141";"40";"30";"10";"40";"10";"0"
"Berlin, Stadt";"11000";"Westerwaldkreis";"07143";"100";"50";"40";"80";"20";"0"
"Berlin, Stadt";"11000";"Trier, kreisfreie Stadt";"07211";"70";"40";"30";"50";"20";"0"
"Berlin, Stadt";"11000";"Bernkastel-Wittlich";"07231";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Eifelkreis Bitburg-Prüm";"07232";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Vulkaneifel";"07233";"20";"10";"10";"10";"0";"0"
"Berlin, Stadt";"11000";"Trier-Saarburg";"07235";"20";"10";"10";"10";"0";"0"
"Berlin, Stadt";"11000";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"20";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Kaiserslautern, kreisfreie Stadt";"07312";"90";"50";"40";"60";"20";"0"
"Berlin, Stadt";"11000";"Landau in der Pfalz, kreisfreie Stadt";"07313";"60";"20";"40";"50";"10";"0"
"Berlin, Stadt";"11000";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"170";"120";"40";"120";"40";"0"
"Berlin, Stadt";"11000";"Mainz, kreisfreie Stadt";"07315";"1050";"530";"520";"840";"210";"0"
"Berlin, Stadt";"11000";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"20";"10";"10";"10";"0";"0"
"Berlin, Stadt";"11000";"Pirmasens, kreisfreie Stadt";"07317";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Speyer, kreisfreie Stadt";"07318";"50";"20";"30";"40";"10";"0"
"Berlin, Stadt";"11000";"Worms, kreisfreie Stadt";"07319";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Zweibrücken, kreisfreie Stadt";"07320";"10";"10";"0";"10";"10";"0"
"Berlin, Stadt";"11000";"Alzey-Worms";"07331";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Bad Dürkheim";"07332";"20";"10";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Donnersbergkreis";"07333";"10";"10";"10";"10";"0";"0"
"Berlin, Stadt";"11000";"Germersheim";"07334";"20";"20";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Kaiserslautern";"07335";"20";"10";"10";"10";"10";"0"
"Berlin, Stadt";"11000";"Südliche Weinstraße";"07337";"20";"20";"0";"20";"0";"0"
"Berlin, Stadt";"11000";"Rhein-Pfalz-Kreis";"07338";"30";"20";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Mainz-Bingen";"07339";"110";"60";"50";"80";"30";"0"
"Berlin, Stadt";"11000";"Stuttgart, Landeshauptstadt";"08111";"2420";"1340";"1080";"1710";"700";"10"
"Berlin, Stadt";"11000";"Böblingen";"08115";"380";"270";"120";"290";"90";"0"
"Berlin, Stadt";"11000";"Esslingen";"08116";"870";"590";"280";"590";"280";"20"
"Berlin, Stadt";"11000";"Göppingen";"08117";"100";"60";"30";"70";"20";"0"
"Berlin, Stadt";"11000";"Ludwigsburg";"08118";"710";"510";"200";"570";"140";"10"
"Berlin, Stadt";"11000";"Rems-Murr-Kreis";"08119";"160";"110";"50";"130";"30";"10"
"Berlin, Stadt";"11000";"Heilbronn, Universitätsstadt";"08121";"110";"80";"30";"90";"20";"0"
"Berlin, Stadt";"11000";"Heilbronn";"08125";"250";"170";"80";"180";"80";"0"
"Berlin, Stadt";"11000";"Hohenlohekreis";"08126";"100";"90";"20";"90";"10";"0"
"Berlin, Stadt";"11000";"Schwäbisch Hall";"08127";"140";"100";"40";"80";"60";"0"
"Berlin, Stadt";"11000";"Main-Tauber-Kreis";"08128";"90";"70";"20";"70";"20";"0"
"Berlin, Stadt";"11000";"Heidenheim";"08135";"70";"30";"30";"50";"20";"0"
"Berlin, Stadt";"11000";"Ostalbkreis";"08136";"140";"110";"40";"110";"40";"0"
"Berlin, Stadt";"11000";"Baden-Baden, Stadt";"08211";"90";"60";"30";"90";"10";"0"
"Berlin, Stadt";"11000";"Karlsruhe, Stadt";"08212";"670";"390";"290";"500";"170";"0"
"Berlin, Stadt";"11000";"Karlsruhe";"08215";"300";"190";"110";"230";"80";"0"
"Berlin, Stadt";"11000";"Rastatt";"08216";"70";"50";"20";"60";"20";"0"
"Berlin, Stadt";"11000";"Heidelberg, Stadt";"08221";"600";"360";"250";"440";"170";"0"
"Berlin, Stadt";"11000";"Mannheim, Universitätsstadt";"08222";"1170";"630";"540";"730";"440";"10"
"Berlin, Stadt";"11000";"Neckar-Odenwald-Kreis";"08225";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Rhein-Neckar-Kreis";"08226";"570";"310";"260";"380";"190";"0"
"Berlin, Stadt";"11000";"Pforzheim, Stadt";"08231";"120";"80";"50";"100";"20";"0"
