"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Rheingau-Taunus-Kreis";"06439";"70";"30";"40";"10";"60";"0"
"Regionalverband Saarbrücken";"10041";"Wetteraukreis";"06440";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"0";"0";"0";"0"
"Regionalverband Saarbrücken";"10041";"Gießen";"06531";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Lahn-Dill-Kreis";"06532";"30";"20";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Limburg-Weilburg";"06533";"20";"10";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Marburg-Biedenkopf";"06534";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"066xx";"20";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Kassel, documenta-Stadt";"06611";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Fulda";"06631";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"070xx";"20";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Koblenz, kreisfreie Stadt";"07111";"120";"60";"60";"100";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bad Kreuznach";"07133";"60";"30";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Birkenfeld";"07134";"100";"60";"40";"90";"10";"10"
"Regionalverband Saarbrücken";"10041";"Cochem-Zell";"07135";"20";"10";"20";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mayen-Koblenz";"07137";"20";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Neuwied";"07138";"120";"50";"70";"100";"20";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Hunsrück-Kreis";"07140";"40";"30";"10";"40";"0";"0"
"Regionalverband Saarbrücken";"10041";"Westerwaldkreis";"07143";"30";"30";"10";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Trier, kreisfreie Stadt";"07211";"320";"160";"160";"280";"40";"0"
"Regionalverband Saarbrücken";"10041";"Bernkastel-Wittlich";"07231";"40";"30";"10";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Eifelkreis Bitburg-Prüm";"07232";"20";"10";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Vulkaneifel";"07233";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Trier-Saarburg";"07235";"140";"100";"40";"130";"10";"0"
"Regionalverband Saarbrücken";"10041";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Kaiserslautern, kreisfreie Stadt";"07312";"410";"240";"180";"320";"90";"0"
"Regionalverband Saarbrücken";"10041";"Landau in der Pfalz, kreisfreie Stadt";"07313";"30";"10";"20";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"100";"70";"30";"90";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mainz, kreisfreie Stadt";"07315";"200";"130";"70";"170";"30";"0"
"Regionalverband Saarbrücken";"10041";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"60";"20";"40";"50";"10";"10"
"Regionalverband Saarbrücken";"10041";"Pirmasens, kreisfreie Stadt";"07317";"120";"90";"30";"110";"10";"0"
"Regionalverband Saarbrücken";"10041";"Speyer, kreisfreie Stadt";"07318";"30";"20";"20";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Worms, kreisfreie Stadt";"07319";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Zweibrücken, kreisfreie Stadt";"07320";"440";"290";"150";"400";"50";"10"
"Regionalverband Saarbrücken";"10041";"Alzey-Worms";"07331";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bad Dürkheim";"07332";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Donnersbergkreis";"07333";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Germersheim";"07334";"50";"40";"10";"20";"30";"0"
"Regionalverband Saarbrücken";"10041";"Kaiserslautern";"07335";"210";"140";"60";"140";"60";"10"
"Regionalverband Saarbrücken";"10041";"Kusel";"07336";"100";"80";"20";"60";"40";"0"
"Regionalverband Saarbrücken";"10041";"Südliche Weinstraße";"07337";"20";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Pfalz-Kreis";"07338";"40";"40";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mainz-Bingen";"07339";"20";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Südwestpfalz";"07340";"70";"40";"30";"60";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"081xx";"20";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Stuttgart, Landeshauptstadt";"08111";"190";"120";"70";"160";"30";"0"
"Regionalverband Saarbrücken";"10041";"Böblingen";"08115";"60";"40";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Esslingen";"08116";"70";"50";"10";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ludwigsburg";"08118";"50";"40";"10";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rems-Murr-Kreis";"08119";"30";"30";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Heilbronn, Universitätsstadt";"08121";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Heilbronn";"08125";"30";"30";"0";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Hohenlohekreis";"08126";"30";"20";"0";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Schwäbisch Hall";"08127";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ostalbkreis";"08136";"30";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"082xx";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Baden-Baden, Stadt";"08211";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Karlsruhe, Stadt";"08212";"160";"110";"50";"140";"20";"0"
"Regionalverband Saarbrücken";"10041";"Karlsruhe";"08215";"80";"60";"10";"50";"30";"0"
"Regionalverband Saarbrücken";"10041";"Rastatt";"08216";"20";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Heidelberg, Stadt";"08221";"100";"50";"50";"80";"20";"0"
"Regionalverband Saarbrücken";"10041";"Mannheim, Universitätsstadt";"08222";"360";"200";"160";"250";"110";"20"
"Regionalverband Saarbrücken";"10041";"Rhein-Neckar-Kreis";"08226";"120";"90";"40";"90";"30";"0"
"Regionalverband Saarbrücken";"10041";"Pforzheim, Stadt";"08231";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Calw";"08235";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"083xx";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Freiburg im Breisgau, Stadt";"08311";"40";"20";"20";"40";"0";"0"
"Regionalverband Saarbrücken";"10041";"Breisgau-Hochschwarzwald";"08315";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ortenaukreis";"08317";"90";"50";"40";"70";"20";"0"
