city,cityLabel,district,districtLabel,isCity,isIndependentCity,regiokeyCity,regioKey,maxPopulation,maxLoc
http://www.wikidata.org/entity/Q503392,Bockenem,http://www.wikidata.org/entity/Q5978,Landkreis Hildesheim,true,false,,03254,9795,Point(10.131944444 52.011666666)
http://www.wikidata.org/entity/Q2843,Lübeck,,,true,true,01003,,215846,Point(10.686388888 53.869722222)
http://www.wikidata.org/entity/Q81749,Schirgiswalde-Kirschau,http://www.wikidata.org/entity/Q571947,Landkreis Bautzen,true,false,,14625,6150,Point(14.428611111 51.092222222)
http://www.wikidata.org/entity/Q3898,Castrop-Rauxel,http://www.wikidata.org/entity/Q6214,Kreis Recklinghausen,true,false,,05562,73425,Point(7.316666666 51.55)
http://www.wikidata.org/entity/Q535267,Geislingen,http://www.wikidata.org/entity/Q8233,Zollernalbkreis,true,false,,08417,5881,Point(8.8125 48.2875)
http://www.wikidata.org/entity/Q16026,Limburg an der Lahn,http://www.wikidata.org/entity/Q7906,Landkreis Limburg-Weilburg,true,false,,06533,35243,Point(8.066666666 50.383333333)
http://www.wikidata.org/entity/Q520595,Rheinstetten,http://www.wikidata.org/entity/Q8178,Landkreis Karlsruhe,true,false,,08215,20340,Point(8.289722222 48.960555555)
http://www.wikidata.org/entity/Q3828,Dessau-Roßlau,,,true,true,15001,,81237,Point(12.233333 51.833333)
http://www.wikidata.org/entity/Q2066,Essen,,,true,true,05113,,582415,Point(7.013055555 51.450833333)
http://www.wikidata.org/entity/Q491118,Bad Rodach,http://www.wikidata.org/entity/Q10440,Landkreis Coburg,true,false,,09473,6394,Point(10.778611111 50.341111111)
http://www.wikidata.org/entity/Q4062,Hameln,http://www.wikidata.org/entity/Q5970,Landkreis Hameln-Pyrmont,true,false,,03252,57510,Point(9.36 52.103055555)
http://www.wikidata.org/entity/Q507854,Karlstadt am Main,http://www.wikidata.org/entity/Q10469,Landkreis Main-Spessart,true,false,,09677,15004,Point(9.772222222 49.960277777)
http://www.wikidata.org/entity/Q6869,Heidenheim an der Brenz,http://www.wikidata.org/entity/Q8523,Landkreis Heidenheim,true,false,,08135,49526,Point(10.154444444 48.676111111)
http://www.wikidata.org/entity/Q523394,Damme,http://www.wikidata.org/entity/Q5941,Landkreis Vechta,true,false,,03460,17127,Point(8.195555555 52.522222222)
http://www.wikidata.org/entity/Q509939,Elsfleth,http://www.wikidata.org/entity/Q5948,Landkreis Wesermarsch,true,false,,03461,9105,Point(8.466666666 53.233333333)
